Input,Output
"""- -2 -6 7 -6 -9 7 -2""",7
"""* -1 3 -4 -6""",-72
"""* -4""",-4
"""* 7 4 -1 -6 1""",168
"""/ 7""",7
"""- -1 3 -2""",-2
"""* 4 0 0 -2 1 -3 8 -9 -8""",0
"""* 6 0 -7 4""",0
"""/ 0 6 6 -9 6 1 -9""",0.0
"""/ -3 -2""",1.5
"""* 9 -8 -6 -2 -3 0""",0
"""* 2 -7 -8""",112
"""+ -8 8 -1 -1 3 -8""",-7
"""+ 8 -7 8 -3 -3 9""",12
"""+ -6 -4 9 5""",4
"""* 9 4 -2 -6 2 0 -7 -2""",0
"""+ -7 2""",-5
"""+ -9 -4 0 6 -8""",-15
"""- 2 6 8 -8 3""",-7
"""+ 1 -4 -8 4 8 8""",9
"""/ 9 5""",1.8
"""* 6 6 -7 -1 -3 1 -5 7""",26460
"""+ 4 9 2 -7 3 -5 -5""",1
"""* -6 0 1""",0
"""/ -9""",-9
"""/ 2 4 -6 4 7 -1 -1""",-0.0
"""+ -1 6 9 -5 -1 -2""",6
"""- 8""",8
"""+ -1 7 -5 -5 5""",1
"""- 0 0 8 0 5 -1""",-12
"""/ -8 3 -8 5 5 2 -9 -2""",0.0
"""- -4 -2 6 -8 -8 -9 3 -4""",18
"""* -3 -9 5 1""",135
"""/ -1 8""",-0.12
"""- -6""",-6
"""/ -5""",-5
"""* -9 7 4 -6 7""",10584
"""* -9 -9 3 7 5 -8 7 7 8""",-26671680
"""+ -3 -4 9 -1 6 -4""",3
"""+ 1 -9 -1 -5 -5""",-19
"""* -1 -3 9 0 1 9 -1""",0
"""* 1 -7 -1 0 4""",0
"""/ 0 3 -4 -7 1 9""",0.0
"""- 3""",3
"""/ -8 -2 -2 6 5""",-0.07
"""* 0 0 9 -1 4 -1 7""",0
"""* -9 0 8 -7""",0
"""+ 5 8""",13
"""/ -5""",-5
"""* -9 -5 8 -6 -5""",10800
"""- 0 2 -8 0 -8 1""",13
"""* 4 6 -5 -4 -6 -7""",20160
"""+ 6 2 -4 -2 7""",9
"""* -2 9 2 3 7 4 1""",-3024
"""/ 6 6 9 -6 -5 3 -5 6 1""",-0.0
"""+ -9 9 6""",6
"""* 3 6 0""",0
"""- -9""",-9
"""- -7 -7 -7 -4""",11
"""+ 5 -9""",-4
"""- 1 7 -4 8 -8 2 -4 -2""",2
"""- -9 -6 4 4 3""",-14
"""- 3 0 4 6 0 8 -7 -2 7""",-13
"""/ -5""",-5
"""- -1 -3 -6""",8
"""* -2 -4 1 3""",24
"""+ 7 9 -3 3 3""",19
"""/ -8 1 -1 -4 -2 -4 -5 -9""",-0.01
"""* 0 3 9 -5 2 7""",0
"""* -6 -3 4 -4 2 -2 -9 -3""",31104
"""/ 4 4 1 -1""",-1.0
"""+ 3 -7 0 -8""",-12
"""/ -1 5 1 1""",-0.2
"""/ 8 4 2 -1 -1 -5 9""",-0.02
"""- -6 -7 -1 9 -5 -1 0 7 4""",-12
"""* -2 9""",-18
"""- 7 4""",3
"""/ -2 0 9 -8 -1 -1 -6 2""",null
"""* -5 -1 -6""",-30
"""- 2 9 -7""",0
"""* 6 8""",48
"""* -8 -7 0""",0
"""* 8 -1 1 -2 3""",48
"""/ -2 1 -1 2""",1.0
"""- -9 -4""",-5
"""/ 0""",0
"""+ -9 8""",-1
"""* 2 -6 -5 -5""",-300
"""/ 9 -3 4""",-0.75
"""+ 6""",6
"""* -6 -8 4 9 -8 0 7 1""",0
"""+ 5 3""",8
"""* -1 2 0 6""",0
"""/ -6 -7 3 -6""",-0.05
"""+ 4 -3 -5 7 1 -1""",3
"""* 7 8 -1 -7 -2 1""",-784
"""- 9 1 0 8""",0
"""/ -9""",-9
"""* -2 2 2 5 6 -4 3""",2880
"""* 3 3""",9
"""- -7 -2 -1 8 -4""",-8
"""* -2 -2""",4
"""/ -3 -2 -8 -1 0 -7 4""",null
"""- 9 2 -3 -7 -4 -2""",23
"""* -3 -9 -4""",-108
"""* 9 -6 7 2 9""",-6804
"""* -7 -8 -2 8 7 2 0 -6 0""",0
"""/ 6 9 -6 -9 1 3 -8 3 1""",-0.0
"""/ -4 9 -9 -3 -8 0 0 -6 5""",null
"""- -5 2 4""",-11
"""+ -1""",-1
"""/ 3 1 2 8 -1""",-0.19
"""* -9 6 9""",-486
"""/ -4 -2 3 -6 8 1""",-0.01
"""+ 6 -1 5 3 -3""",10
"""+ 4 -6 2""",0
"""/ 7 -3 2 -1 -5 7 -7 -4""",-0.0
"""* 7 5 1 8 -9 -6""",15120
"""/ -1 -5 4 -4 -3 -2 9 -6""",0.0
"""+ 6 3 -6 1 -4 2""",2
"""+ -7""",-7
"""* 5 6 -8 9""",-2160
"""/ 9""",9
"""+ -8 1 7 5 8 5 8""",26
"""- 9 8 -9 -7 -4 4 2 6 5""",4
"""- -2 0 -1 4""",-5
"""+ -6 -9 0 0 -2 -2 -3""",-22
"""* -9 -7""",63
"""* -7 6 -8 0 6""",0
"""- 6 0 8 6 -3 -2 9 8 5""",-25
"""/ -3 1 -7 -3 -1 3 0 3 4""",null
"""* -2 5 8 9""",-720
"""- -4 -5 6 -7 -6 9 -7 8""",-2
"""+ 2 1 5 -7 7""",8
"""- -7 9 -1 9""",-24
"""- -1 0""",-1
"""- -6""",-6
"""- 9 -6 5 -1""",11
"""/ 6 -5 -3 4 -6 9 -8""",0.0
"""+ -6 -3 -9""",-18
"""/ 4 5 6 -8 -3 4 -5 7""",-0.0
"""- 9 -6 6 9""",0
"""- 4 6 6""",-8
"""/ -1""",-1
"""/ 0""",0
"""/ 6 6 4 -9 -3 -7 6 0""",null
"""+ -4 8 -2 -2 4 2 4 -5 6""",11
"""* -5 -8 5 -7 -2 -7 7""",-137200
"""+ -6""",-6
"""* 7""",7
"""/ 4 1 8""",0.5
"""+ 2 -9 -7 3 -8 -5 4 -5""",-25
"""- 1 2""",-1
"""+ -7 -1 -9 5 -6 -7 1 -1""",-25
"""* 8 -3""",-24
"""/ 3 2 2 7""",0.11
"""* 1""",1
"""* -5 0 -5 -1 -5 1""",0
"""* -2 -2 -2 0 1""",0
"""+ -7""",-7
"""* -9""",-9
"""/ 9""",9
"""/ -8 -8 -8 9 -8 2 -1""",-0.0
"""+ 7 7 -2 0 6 -2 0""",16
"""+ 6 6 -7 3 -4 7 5 -3""",13
"""- 0 8 -6 -1 4 4 -4""",-5
"""/ 9 -6 7 8 5 6 4""",-0.0
"""+ -9 -7 6 -9 -6 4""",-21
"""/ 5 -4 -5 -3 5 -5 -5""",-0.0
"""/ -1 1 5""",-0.2
"""- -9 -3 -8 5 3""",-6
"""+ -4 -8 -6""",-18
"""* -8""",-8
"""- 6 7 0 -9 3 4 5 4""",-8
"""- 4 5 2 -3 0 0 -7""",7
"""- -4 -8 1 9 -9 -3 -4 9""",1
"""+ 9""",9
"""/ -6 3 -2 -7 2 -1""",0.07
"""* 9""",9
"""- -9 6""",-15
"""+ -2 0 2 -9 -9""",-18
"""* 4""",4
"""- -9 -1 -8 8 2 7 5 -8 7""",-21
"""- 7""",7
"""* 0 8""",0
"""/ -9 -5 7 -6 6 -3 6 -8 -3""",0.0
"""* 0 -4 0 6""",0
"""+ 6 4 0 3 1""",14
"""+ 0 6 -6 4 -9 -5 5""",-5
"""+ -9 -1""",-10
"""/ 1 8 5 -2 2 -7 0""",null
"""* 8 4 -1 -6 -7 5 9""",-60480
"""/ 6 -2 0 8 -4 7""",null
"""/ -4 -2 6 3 -6 -2 -6 -4""",0.0
"""- 7 0 5""",2
"""+ 6""",6
"""* -1 -9 -6 -7 9 2 -3""",-20412
"""- -5 0""",-5
"""+ -1 8 2 -7 6 -1 -9 0 3""",1
"""- -6 -7 -5 2 5 -6""",5
"""+ 4 8 3 7 4 -8 9 4 -7""",24
"""* -9 -5 5 5 -1""",-1125
"""+ -2 5 3 9 -5 -8 0""",2
"""- 8 -9 7 -3 -3""",16
"""* -9 -9 0 6 -4 5 -7 -6""",0
"""+ 5 1 -3 -4 3 7 -5""",4
"""/ -8 6 8 4 9 -5 -8 5""",-0.0
"""+ 4 8 7 5 -8 5 -8 8""",21
"""- -3 6 4 -5 0 -6""",-2
"""/ 5 9 -6 3 -3 -4 7 9""",-0.0
"""+ 5 -6 -4 -9 0 0 -2 -3 9""",-10
"""- -4 7 -5 3 4 9 4 5""",-31
"""* -3 -4 -2 -6 1 6 -1 -7 3""",18144
"""/ 3 9 9 1""",0.04
"""- -2 -3 5 -6 -6 0 -9 9 -9""",17
"""* -9 4 -8 -3 -2 -4 -4 -6""",-165888
"""* -9 -6 9 1""",486
"""+ -9 -1 3 -4 8 -5 -9""",-17
"""- 4 -5""",9
"""- -4 4 -8 -8 0""",8
"""* -4 7 -4 6 2 -7 -2""",18816
"""/ 0 -8 -3 0 -8 -1 -9 -2 3""",null
"""* 8 -8 -2 6 3 -4 7""",-64512
"""* -4 2 -8 -7 7 -1 -4 9""",-112896
"""- 5 7""",-2
"""- 1 6 5""",-10
"""+ 7 5 -4 -9 9 5""",13
"""/ -1 7 7 8 -9""",0.0
"""/ -5 -3 6 -9 -7 0""",null
"""+ -7""",-7
"""/ -2 8 6 -2 5 7 8 -7 -4""",0.0
"""* -8 4 9 -7 8 1""",16128
"""/ 7 3 9 -5 -7 4""",0.0
"""+ -4 -5 8 5 -7 5 -6 -8""",-12
"""+ -9 -6 -2 -6""",-23
"""* -3 6 -1 -5 -4 6 -7 -4 -1""",-60480
"""/ 2 -8 -7 -7 5 4 -8 -8""",-0.0
"""/ 4 6""",0.67
"""+ 4 4 -6 3 1 -8 1""",-1
"""- 8 -5 2 2 1""",8
"""- -7 1 7 -7 -5 6 -2""",-7
"""* -3 4 5 1 -6 3 6""",6480
"""+ -5 -2 -1""",-8
"""+ 3 5 -3 7 7 -8 5 -4""",12
"""/ 8 2 -4 -9 -5 4 9 5 -9""",0.0
"""- -5 4 -5 5""",-9
"""* 6 -7""",-42
"""+ 4 7 3""",14
"""- -1 7 9 7""",-24
"""+ 1 0 -9""",-8
"""/ 6 9 3""",0.22
"""* -1 0""",0
"""/ -9 -8 1 9 -7 4 4 6 4""",-0.0
"""- -7""",-7
"""* -1 -7 -6 -5 -2 1 -1 -2""",-840
"""/ 8 5 5 -3 5 5 2""",-0.0
"""* 7 7 -5""",-245
"""* 1 4""",4
"""+ 7 7 9 3 6 -8""",24
"""+ 1 9""",10
"""+ -8 -5 -3 -7 -5 7 6 5""",-10
"""/ 3 -7 -1 9""",0.05
"""+ -4 1 2 -2 -1 7""",3
"""- -9 3 5 -1 5 5 9 6""",-41
"""/ -1 7 8 -4 5 2 -8 -6 -8""",-0.0
"""/ 7 3 -1 -5""",0.47
"""* 7 6 3 4 -3 -5 -5 5""",-189000
"""/ -5 -5 4 -8 -2""",0.02
"""- 8 7 -2 3 -5 -2 -3""",10
"""/ 3""",3
"""/ 8 5 -6""",-0.27
"""+ -2 -6 -7 -9 1 8 -1 4 2""",-10
"""- -2 -3""",1
"""/ 8 3 -8""",-0.33
"""* 5 -4 -4 -4 -2 -4 6 -5 1""",76800
"""- -6 9 1 0 -3 -9""",-4
"""* 7 7 -5 -6 2""",2940
"""/ 5 7 -5 -8 -2 4 -2""",0.0
"""/ -4 0""",null
"""+ -4 -7""",-11
"""+ 4 -9 9""",4
"""- 5 -7 -8 3 0 3 -9 -5 -1""",29
"""* -3 -5""",15
"""* -6 3 -7 3 -4 2 0 2""",0
"""/ -3 -5 4 5 3 -1 3""",-0.0
"""- -5 0 -1 0 2""",-6
"""/ -9 -7""",1.29
"""- -6 5 6""",-17
"""* 9 7 -6 1 4 -6""",9072
"""/ -9 0 -5 -2 -8 -5 -7 -7 8""",null
"""+ 8""",8
"""- 4 8 -6 3 -9 4""",4
"""* -7 -4 -2 -5 2 6 -4 -1""",13440
"""- -2 9 -7 -2 8 9 0 -9 0""",-10
"""- 4 9 -6 6 -2 9""",-12
"""* -2 -9 9 -4 -7 8 -5 7""",-1270080
"""- 3 3 -5 -2 -4 1 -2 1""",11
"""/ -9 5 -3 8 0""",null
"""- 5 -4 0 -5 5 1 -3 7 3""",1
"""+ -8""",-8
"""* 6 0 9 -2 -8 -4 8 9""",0
"""* 9 9 2""",162
"""+ 8 9 7""",24
"""/ 1 7 -5 1 8 8 5 9""",-0.0
"""* -6 -6 3 1""",108
"""* 8 5""",40
"""+ 6 0 3""",9
"""* -4 -8 -3""",-96
"""* -6 9""",-54
"""- 1 -3 -6 0 -1""",11
"""/ -8 -5 -5 -5""",0.06
"""- -9 9 -7 1 0 -7 0""",-5
"""* 5 4 3 -7""",-420
"""- -9 3 -9 2 -8 -6""",9
"""* 6 1 -5 1 9 2 1 -4 -7""",-15120
"""* -3 7 3 6 8 5 -9 -9 -5""",6123600
"""- -6 6 -5""",-7
"""+ 6 -4 5""",7
"""+ 5""",5
"""- 6 8 -7 3 -3 -1 -9""",15
"""/ 5""",5
"""/ 7 -7 6 1""",-0.17
"""+ 1 -7 2 1""",-3
"""* 2 -6 9""",-108
"""* 9 -6 8""",-432
"""- -3 9 7 0 -3""",-16
"""+ 6 -4 -1 -7 8 1 -8""",-5
"""/ 9""",9
"""/ 3 3 -1""",-1.0
"""* -1 3 -3 -1 1 9 7""",-567
"""+ 0 8 2""",10
"""/ 7 7 -3""",-0.33
"""+ 8 -8 -8 8 -5 8 -5 2""",0
"""- 5 -3 -6 0 -5 -4""",23
"""+ 3 -6 -4 0""",-7
"""* -5 -8 4""",160
"""* -4 9 -8 7 -7 4""",-56448
"""+ 4 9 2 -4 -1 6""",16
"""+ -4 8 4 -7 -7 -4 -8""",-18
"""/ 7 -3 2 -4""",0.29
"""/ 7 2 -8 7 -2 5 -8 -1 8""",0.0
"""/ -7 -4""",1.75
"""* 9 -6 4 -7 4 4 4""",96768
"""/ -1 3 4 -5 -3 -4 1""",0.0
"""* 8 3 -3 -9 4 3 9 -8""",-559872
"""* 4 5 -9 2 8 -8 0""",0
"""- 0 0 -3 -4 6 -7 8 -3 -4""",7
"""- -3 8 1 -4 -6 -8 -8 -5 -5""",24
"""/ 5 0 -9 -9 9 -9 8""",null
"""- 2 4 -4 1 -1 8""",-6
"""/ -1 -2""",0.5
"""- 2 -6 1""",7
"""+ -9 4 9 -2""",2
"""- -4 9 1 8""",-22
"""* -8 -2""",16
"""* -1 8 6 -5""",240
"""* -6 -5 7 -5 6 3 -9 3""",510300
"""* -7 9 -1""",63
"""/ 0 -3 -2 8 2 -5 1 1 6""",-0.0
"""- 8 8 -7 3 -7 -5 -1""",17
"""* 5 -9 -2 -6 1 4 0""",0
"""- -9 -6 8 4 -4 -5 6 -3 -5""",-4
"""/ 0 -4 -5 8 5 -5 2""",-0.0
"""+ -6 -8 2 -3 0""",-15
"""+ 1 7 -7 0 9 -2 -7""",1
"""* -8 2 4 2 -8 5 -6 0""",0
"""- -3 6 1 -9 9 3 2""",-15
"""/ 5 -7 8""",-0.09
"""+ -9""",-9
"""/ 6 -3 4 2 1 -6 -3 2 -1""",0.01
"""/ -5 -1""",5.0
"""+ 3 -5 -4 4 -6""",-8
"""* 1 5 -8""",-40
"""+ 1 3 -8""",-4
"""- 1 -8 6 9 -1 -7""",2
"""- -1""",-1
"""+ 8 -1 8 2 -6 -1""",10
"""/ 2 7 -1""",-0.29
"""+ -4 -2 -2""",-8
"""- -9 4 6 -7""",-12
"""- 5 -7""",12
"""- -9 -5 -2 9 1 4""",-16
"""/ -1 -8 -6 9 2 -3 -1""",-0.0
"""* 4 4 8 -6 -5 -6 1 -5 9""",1036800
"""* -3 3 3 6 6 -5""",4860
"""* -9 2 -3 9 1 -8 -8 7 5""",1088640
"""+ 2 3 -7 9 -1 9 5""",20
"""+ 1 2""",3
"""/ 0 -2 -2 4""",0.0
"""* 1 2 -2""",-4
"""* -5 1""",-5
"""+ 5 1""",6
"""* 6 6 -9 -6 -6 -7""",81648
"""- 5 4 2 3 -5 1 -4 1 -4""",7
"""/ 8 -3""",-2.67
"""/ 5 4""",1.25
"""- -6 6 5""",-17
"""* 2 1 -2 0 8 -1""",0
"""- -7""",-7
"""/ -2 -9""",0.22
"""/ -7""",-7
"""- 0 -8 -5 5 0 -7 -6""",21
"""+ -4 -1 -6 -4 7 -2""",-10
"""* 2 -5 -3 6 1 -9 0 -7""",0
"""+ 2 9 1 1 -4 1 -1 8""",17
"""* -6 -9 -1 -6 -8 8 6 8""",-995328
"""/ -1 -8 -3 8 5""",-0.0
"""- -8 -6 2 -6 1 -3 -2 -9 -3""",18
"""/ 5 -8 8 -2""",0.04
"""* -7 -5""",35
"""* -6 2 9 -9 4""",3888
"""* 1 -4 0 4 8 -9 -5""",0
"""/ 4""",4
"""- 1 -3 -2 -4 -6 -1 6 5""",6
"""- -2 -3 3 -2""",0
"""/ 1 -7 7""",-0.02
"""+ 9 9 1""",19
"""* 5 0 9 -3 3 7 -7 -5 -5""",0
"""+ -7 -5 -6 -4""",-22
"""- 7""",7
"""* -3""",-3
"""+ 8 -9""",-1
"""+ -9 9 0 -5 -7 4""",-8
"""/ 8 -7 5 -4 8 6 3 1 -5""",-0.0
"""+ -4""",-4
"""/ -9 4 -8""",0.28
"""- 8 3 -3""",8
"""- -3 3 5 4 -6 -8 3 -7 -6""",9
"""/ 3 -8 -1 0 -4 5""",null
"""/ -9 6 -3""",0.5
"""* 3 -5 5 0 -5""",0
"""- 2 -9 -8 0 -3 3 -3""",22
"""/ 6""",6
"""* 3 3 8 -3 -5 1 5""",5400
"""* 2""",2
"""/ -6 4""",-1.5
"""* 0 -3 0 -3 7""",0
"""* 5 -3""",-15
"""* 7 0 -5 -6 9 3 9""",0
"""- 3 -3 -5 -7""",18
"""+ 5 9 -3 1 -3 0""",9
"""+ -9 5 -7""",-11
"""- -7 -8 4""",-3
"""+ -5 -1 -7 -2 9 -3""",-9
"""* -7 -3 5 -3""",-315
"""* -3 -3""",9
"""+ -6 1 -9 -9 -5 -8 -6""",-42
"""/ -7 3 -7 0""",null
"""- 8 -5 -3 -5 -4 0 -7 -2 -1""",35
"""- -1 4 -5 -6 1 3 0""",2
"""* 2 -4""",-8
"""/ 0 -5 1 9 -5 -7 -9 5""",0.0
"""- -2 5 -2 -3 -6 7 9""",-12
"""* -5 -4 1 -9""",-180
"""+ 4 6 9 -6 5 -4""",14
"""/ 9 -9 -9 4 -2""",-0.01
"""+ -5 5 -4 -8 -8 3 2""",-15
"""+ 2 -2 -4 3 7 -5""",1
"""/ 7 -7 4""",-0.25
"""- 4 5 8 -2 9""",-16
"""- -2""",-2
"""- 9 0 -6 -7 6""",16
"""- -7 -8 -4 1 8 4 -4 -1""",-3
"""/ -6 -6 5 -6 -9 6""",0.0
"""* 5 6 2 4 -6 -1 9""",12960
"""/ -7 2 7 -1 -2 -5""",0.05
"""/ 0""",0
"""- -5 -7 -7""",9
"""* 7 -4""",-28
"""* -8 9 -4 6 4 -1 -9 5""",311040
"""+ -1 9 0 -4 4 3""",11
"""* -2 4 0 -5 -2 -8""",0
"""/ 1 1 -8 0""",null
"""+ -3 0 2 -5 3""",-3
"""* -2 5 0 -2 -8 8 9 -1""",0
"""/ 8 9 8 2 4 -6 -4 8 -1""",-0.0
"""+ 3""",3
"""+ 1""",1
"""/ 4 0 -1 8""",null
"""- 7 -3 -5 -7 8 -7 -7 -6 -2""",36
"""- -5 5 -7 3 -3 -4 -1""",2
"""+ 5 2""",7
"""/ -9 4 -6""",0.38
"""/ -2 -5 5""",0.08
"""/ -1 0 8 -7 -4 5 -1 -7 -4""",null
"""* -2 4 6 -3 -3""",-432
"""* -7 1 -2 7 1 4""",392
"""+ 7 2 -2 4 5""",16
"""* 8 -6 -9""",432
"""+ 3""",3
"""* 3 -1 -1 -5 -3 9 -9 -8""",29160
"""* -2 5""",-10
"""- 7 2 -4 -4 -5 -7 -5 -7""",37
"""- 3 -4""",7
"""* -2 9""",-18
"""/ -7 -8 0 -7 1 -5 0 -3 9""",null
"""/ -5 5 1 4 4 -1 0 3 -5""",null
"""- -3 -8""",5
"""/ -7 8 1""",-0.88
"""- -4 -5""",1
"""/ -5 2 3 -9 -4 -8""",0.0
"""/ -5 7 -3 4 -1 -1""",0.06
"""* -8 -1""",8
"""+ -7 6 8 -6""",1
"""/ -8""",-8
"""/ -3 -4 -3""",-0.25
"""* -4 -8 8""",256
"""+ 3 -6 2 -3 -8""",-12
"""* 7 -3 9 -8 1 0 -3 8""",0
"""/ -4 -4""",1.0
"""- -4 -2 1 6""",-9
"""* 6 -4 4 8""",-768
"""- 9 -1 5 2 -6""",9
"""* 3 8 5 -4 0 -9 4 3""",0
"""+ -1 4 9 2 8 -1 5 -4""",22
"""+ 0 8 2""",10
"""* 9 5""",45
"""- -8 -8 6""",-6
"""* -8 -6 -6 -4 -2""",-2304
"""- -4""",-4
"""/ 8 4 1 7 -9 -5""",0.01
"""* 9""",9
"""- 7 3 8 -5 3 -2 6 1 1""",-8
"""- -5 4 -6""",-3
"""* 6 -1 9 -4 -2 6 8 -1""",20736
"""- 8 4 -9 -5 -7 -8 0 -7""",40
"""* 9""",9
"""/ 0 0""",null
"""/ -8""",-8
"""- -1 -8 9""",-2
"""* 5 -9""",-45
"""* -4 -9 4""",144
"""+ -2""",-2
"""* -3 -9 5 2 1 -3 7 3 -1""",17010
"""+ 9 -4 2 -3 -1 5 3 -7 9""",13
"""- 9 -7 -3 1 -3 9 -4 6 -5""",15
"""* 8 -8 -7""",448
"""- 5""",5
"""- -5 -7 -1 -4 7 5 9 1 -9""",-6
"""/ 0 4""",0.0
"""- -8 9 3 -7""",-13
"""* -3 -6 9""",162
"""* -9 -8 -2 -9 -9 7 0""",0
"""- 4 -7 5 1 -6 1 7""",3
"""- 6 4 2 9""",-9
"""+ -4 4""",0
"""* -7 0 -8 5 7 8 2 -2""",0
"""/ 5 -6 9 1 -1""",0.09
"""- -7 9 -5 -6 -3 -9""",7
"""/ 3 4""",0.75
"""/ 0 -9 0 7""",null
"""/ 7 5 -4 -5 -1 -4 -6""",-0.0
"""- -2 7 1 3 -9 -4 -9 7 7""",-5
"""+ -5 5 -7 -8 6 -5 -7""",-21
"""- 3 2 3 -4""",2
"""/ 7 0 8 7 -3 -4 4 -1""",null
"""* -9 -2 -2""",-36
"""* 2 4""",8
"""* -3 -7 2 6 -4 -2 -1""",-2016
"""+ -1 4 8 3 1 1 1 4""",21
"""* -5 -7 6""",210
"""* -9 7 -6 -4""",-1512
"""* -2 -3 1 -6 2 3 -8""",1728
"""+ 4 3 -6 9 8 -5 1 -9 -8""",-3
"""* 0 -2 5 1 2 7 -6 5 1""",0
"""* 0 -3 -8 2 -5""",0
"""* -1 -9 5 2 -7 -2 -4""",-5040
"""/ -8 -3 -3 2 -5""",0.09
"""- 1 5 8""",-12
"""/ -9 -3 -3 3 1 7""",-0.05
"""- 7 -4 6 -3""",8
"""* -4 -3 3 -1 3""",-108
"""+ -9 6 -7 5""",-5
"""+ -2 7 -4 -6 0 -5 4 2 -7""",-11
"""+ -9 6""",-3
"""- -8 1 8 1 -1 -6 -3 6 -2""",-12
"""- 1 -8""",9
"""* 2 6 -1 4 -3 -1 -6""",864
"""- 1 9 -4 -1 -1 8""",-10
"""* -7""",-7
"""* -4 3 0 -5 1""",0
"""/ -5""",-5
"""+ -5 6 9 5""",15
"""+ -6""",-6
"""* -5 7 5 7 -5""",6125
"""/ -7""",-7
"""* -1 4 -2 -8 -7""",448
"""- 9 -8 6 7 8""",-4
"""/ -7 6 4 -1 -6""",-0.05
"""* 0 -5 7 0 -6 -3 0 -9 3""",0
"""* 8 8 1 6 -2 7 9 -5""",241920
"""/ 9 -3 -2 -1""",-1.5
"""* 9 -5 -2 -9 -9 -5 -8""",291600
"""/ -5 -5 5 -6 -1 0""",null
"""- 1 6 -4 4""",-5
"""+ 5 9 -6 3 5""",16
"""- 4""",4
"""+ 2 2 -5 5 -9 0 7 -1 6""",7
"""* 6 2 6 9 -5 -5 5 0 -1""",0
"""+ -3 5""",2
"""* 9 -4 -4 3 1 -6 -9 5""",116640
"""- 8""",8
"""/ 6 -8 6 7 9 -2 3""",0.0
"""+ -8 -8 7 -9""",-18
"""- -9 5 9 -3 2 -3 -2""",-17
"""+ -4 1 -7 9 -7 -5 -1""",-14
"""/ 7 2 -8 -4""",0.11
"""+ -8 -1 1""",-8
"""+ 7 -3 8 -7 -7 3 -5 0""",-4
"""+ 6 7 0""",13
"""* 7 -9 5 9 -8 -6""",-136080
"""- -3 -2 9 -4 -2""",-4
"""* 1 7 -4 -9 1 -9""",-2268
"""- 5 8""",-3
"""+ -8 4 5 0 -8 5 -1""",-3
"""/ 1 6 -1""",-0.17
"""- 3""",3
"""- -4""",-4
"""* -9 8 8 -8 1 7 -5 -1""",161280
"""+ 4 3""",7
"""+ 0 -4 -3 9 -9""",-7
"""* 1 -2 6 -4 9 1 8 2 -3""",-20736
"""/ -3 -6 -4 -3 7 9 4 1 3""",0.0
"""- 3""",3
"""* -7 2 -2 4""",112
"""* -2 2 5 -4 -5 -7 0 1 -5""",0
"""+ -5 2 -8 -1 8 7 -6 -5 -9""",-17
"""/ -1 -5""",0.2
"""- -3 -8 8 0""",-3
"""- 6 -8 -5 -9 4 0""",24
"""* -1 2 9 9 8 1 0 3""",0
"""* -2 -7""",14
"""/ 8 8 1 5 -8 5 5 4""",-0.0
"""- 0 9 6""",-15
"""+ -8 -8""",-16
"""* -4 2 0""",0
"""* -4 -6 7 1 -9 -9 6""",81648
"""* 3""",3
"""* -9 -6 -7 3 5 -1 6 -9 3""",-918540
"""* 7 6 6 8 5""",10080
"""- 0 -1 -8 -2 0""",11
"""/ -8 -9 -7 3 7""",-0.01
"""* 1 8 -4 -4 -1 3 7""",-2688
"""- 0 9 3 -1 1 -9 -8 5""",0
"""/ 7 -6 6 5 -8 8 -8 -1""",0.0
"""* -4 6 -7 7""",1176
"""* -7 8 -9 6 -2 7 3 9 8""",-9144576
"""- -5 -7 -8 3 5 -4 7""",-1
"""- -5 3""",-8
"""- -6 -6 -1 -7 8 1 -7 3 -9""",12
"""- -6 -4 -3 5 6 5 7 -3 4""",-23
"""/ -4 0 -7 3 -9""",null
"""+ -1""",-1
"""/ 4 0 1 -9 -3 -7 -8 8 6""",null
"""/ -7 -9 -3 -9 0 -9 9""",null
"""+ -1 8 -3 2""",6
"""- 1 8 -4 -9 -2 -6 -3 8 -8""",17
"""/ 0 6 7 2 -7 -3 5 -2""",-0.0
"""/ 9""",9
"""+ 2 -5 -7""",-10
"""- 3 6 5 -6 -5 9 7 -3 2""",-12
"""/ 0 -9 -3 6 -1 -1""",0.0
"""- 6""",6
"""- 0 7""",-7
"""* 2 -5 -3 -6 -4 -6""",-4320
"""/ -1 -1""",1.0
"""+ 4 1 -6""",-1
"""/ 0 8 -9 -4 9 -3 5""",-0.0
"""+ -7 6 -4 -9 7""",-7
"""* 0 -6 4 4 -5 4 -8""",0
"""- -7 0 -7 0""",0
"""- 1 -5 -8 -6 -6 -2 3 -1 5""",21
"""* 6 -1 6""",-36
"""* 0 4 -3""",0
"""/ 1 6 -1""",-0.17
"""/ -5 9 7 9 -3""",0.0
"""* 9 0 -4 -1 3""",0
"""- 4 -4 -9 5""",12
"""/ 7 -4 3 0 2 5""",null
"""- 0 -2 -4 5 0 5 -4 -7""",7
"""/ 0 2 9 6 4 -1 -8 8 4""",0.0
"""- -1 0 -1 9""",-9
"""* 3""",3
"""* 5 -6 -6""",180
"""- 1 7 9 -2 -7""",-6
"""* 1 1 -1 -9 -4 -2 1 8 5""",2880
"""+ -2 3 -9 -1 7 -6 6 3""",1
"""+ 6 4 -3 5 1 -4 -1 6 3""",17
"""* -2 -9""",18
"""- -5 1 -9""",3
"""* 3 -1""",-3
"""- 5 2 -6 1 -1 6 -2 -9""",14
